country,year,GNP_PCAP,ODA_TOTAL,INF_MORT,POP,NET_ODA,RIGHTS_REV,RIGHTS_INV
Algeria,1982,2420,1,88,19862000,0.050347397039573055,3,0.08333333333333333
Algeria,1983,2420,95,85.2,20495000,4.635276896804099,3,0.08333333333333333
Algeria,1984,2460,122,82.4,21173000,5.762055447976196,3,0.08333333333333333
Algeria,1985,2580,173,79.6,21848000,7.918344928597583,3,0.08333333333333333
Algeria,1986,2650,165,76.8,22497000,7.334311241498867,3,0.08333333333333333
Algeria,1987,2680,214,74,23124000,9.254454246670127,3,0.08333333333333333
Algeria,1988,2430,171,71.9,23753000,7.199090641182167,4,0.09090909090909091
Algeria,1989,2220,153,69.8,24453000,6.256900993743099,5,0.1
Argentina,1982,1880,1,36,29092000,0.03437371098583803,4,0.09090909090909091
Argentina,1983,1970,48,35.2,29512000,1.626457034426674,9,0.16666666666666666
Argentina,1984,2150,49,34.4,29925000,1.6374269005847952,11,0.25
Argentina,1985,2140,39,33.6,30331000,1.285813194421549,11,0.25
Argentina,1986,2380,88,32.8,30730000,2.863651155222909,12,0.3333333333333333
Argentina,1987,2400,99,32,31121000,3.181131711705922,12,0.3333333333333333
Argentina,1988,2570,152,31.2,31506000,4.824477877229734,12,0.3333333333333333
Argentina,1989,2160,215,30.4,31883000,6.743405576639589,12,0.3333333333333333
Bangladesh,1982,160,1,128,92000000,0.010869565217391304,5,0.1
Bangladesh,1983,150,1049,126.2,95000000,11.042105263157895,4,0.09090909090909091
Bangladesh,1984,140,1200,124.4,98000000,12.244897959183673,4,0.09090909090909091
Bangladesh,1985,150,1152,122.6,101000000,11.405940594059405,5,0.1
Bangladesh,1986,160,1455,120.8,103000000,14.12621359223301,6,0.1111111111111111
Bangladesh,1987,160,1635,119,106000000,15.424528301886792,6,0.1111111111111111
Bangladesh,1988,170,1592,117.6,109000000,14.605504587155963,6,0.1111111111111111
Bangladesh,1989,180,1791,116.2,112000000,15.991071428571429,7,0.125
Benin,1982,330,1,120,3677000,0.27196083763937995,2,0.07692307692307693
Benin,1983,280,86,119.2,3793000,22.67334563669918,2,0.07692307692307693
Benin,1984,260,77,118.4,3915000,19.66794380587484,1,0.07142857142857142
Benin,1985,260,95,117.6,4043000,23.497402918624783,1,0.07142857142857142
Benin,1986,280,138,116.8,4174000,33.06181121226641,1,0.07142857142857142
Benin,1987,310,138,116,4310000,32.01856148491879,1,0.07142857142857142
Benin,1988,370,162,114.5,4449000,36.412677006068776,1,0.07142857142857142
Benin,1989,380,247,113,4593000,53.77748748094927,1,0.07142857142857142
Bhutan,1982,110,1,139,1212000,0.8250825082508251,5,0.1
Bhutan,1983,110,13,136.8,1237000,10.509296685529506,5,0.1
Bhutan,1984,130,18,134.6,1261000,14.274385408406028,5,0.1
Bhutan,1985,130,24,132.4,1286000,18.662519440124417,5,0.1
Bhutan,1986,140,40,130.2,1313000,30.464584920030465,5,0.1
Bhutan,1987,180,42,128,1343000,31.273268801191364,5,0.1
Bhutan,1988,190,41,126.6,1373000,29.861616897305172,5,0.1
Bhutan,1989,1,40,125.3,1403000,28.510334996436207,4,0.09090909090909091
Bolivia,1982,530,1,124,5875000,0.1702127659574468,4,0.09090909090909091
Bolivia,1983,480,174,121.2,6035000,28.831814415907207,10,0.2
Bolivia,1984,450,172,118.4,6200000,27.741935483870968,10,0.2
Bolivia,1985,420,202,115.6,6371000,31.706168576361637,10,0.2
Bolivia,1986,440,322,112.8,6547000,49.18283183137315,10,0.2
Bolivia,1987,510,318,110,6729000,47.25813642443156,10,0.2
Bolivia,1988,590,394,108.2,6917000,56.96111030793697,10,0.2
Bolivia,1989,620,432,106.4,7110000,60.75949367088607,10,0.2
Botswana,1982,1020,1,50,966000,1.0351966873706004,10,0.2
Botswana,1983,1070,104,48.3,1000000,104,10,0.2
Botswana,1984,1050,102,46.7,1035000,98.55072463768116,10,0.2
Botswana,1985,920,96,45,1070000,89.7196261682243,10,0.2
Botswana,1986,980,102,43.4,1106000,92.2242314647378,10,0.2
Botswana,1987,1010,156,41.7,1143000,136.48293963254594,10,0.2
Botswana,1988,1230,151,40.5,1180000,127.96610169491525,10,0.2
Botswana,1989,1600,162,39.3,1217000,133.114215283484,12,0.3333333333333333
Brazil,1982,2070,1,71,127000000,0.007874015748031496,8,0.14285714285714285
Brazil,1983,1840,101,69.4,130000000,0.7769230769230769,9,0.16666666666666666
Brazil,1984,1730,161,67.8,133000000,1.2105263157894737,9,0.16666666666666666
Brazil,1985,1670,123,66.2,136000000,0.9044117647058824,10,0.2
Brazil,1986,1810,178,64.6,138000000,1.289855072463768,11,0.25
Brazil,1987,1960,289,63,141000000,2.049645390070922,11,0.25
Brazil,1988,2120,210,61.5,144000000,1.4583333333333333,10,0.2
Brazil,1989,2540,189,59.9,147000000,1.2857142857142858,11,0.25
Bulgaria,1982,2450,1,18.2,8894000,0.11243534967393748,1,0.07142857142857142
Bulgaria,1983,2260,NA,16.8,8909000,NA,1,0.07142857142857142
Bulgaria,1984,2150,NA,16.2,8925000,NA,1,0.07142857142857142
Bulgaria,1985,2040,NA,15.4,8941000,NA,1,0.07142857142857142
Bulgaria,1986,2170,NA,14.5,8956000,NA,1,0.07142857142857142
Bulgaria,1987,2560,NA,14.7,8971000,NA,1,0.07142857142857142
Bulgaria,1988,2750,NA,14.3,8986000,NA,1,0.07142857142857142
Bulgaria,1989,2320,NA,13.8,9001000,NA,1,0.07142857142857142
Burkina Faso,1982,250,1,149,7312000,0.13676148796498905,4,0.09090909090909091
Burkina Faso,1983,220,184,146.8,7496000,24.546424759871933,4,0.09090909090909091
Burkina Faso,1984,190,189,144.6,7688000,24.583766909469304,3,0.08333333333333333
Burkina Faso,1985,190,198,142.4,7888000,25.101419878296145,2,0.07692307692307693
Burkina Faso,1986,210,284,140.2,8096000,35.07905138339921,2,0.07692307692307693
Burkina Faso,1987,250,281,138,8312000,33.8065447545717,2,0.07692307692307693
Burkina Faso,1988,310,298,136.7,8539000,34.89870008197681,2,0.07692307692307693
Burkina Faso,1989,320,284,135.3,8776000,32.36098450319052,4,0.09090909090909091
Burundi,1982,240,1,102.9,4321000,0.23142791020597084,2,0.07692307692307693
Burundi,1983,250,140,97.3,4437000,31.552851025467657,3,0.08333333333333333
Burundi,1984,240,141,91.7,4562000,30.907496711968435,2,0.07692307692307693
Burundi,1985,250,142,86.2,4696000,30.238500851788757,2,0.07692307692307693
Burundi,1986,240,187,80.6,4837000,38.660326648749226,2,0.07692307692307693
Burundi,1987,250,202,75,4986000,40.51343762535098,2,0.07692307692307693
Burundi,1988,240,188,73,5140000,36.57587548638132,2,0.07692307692307693
Burundi,1989,220,198,71.1,5299000,37.36554066805058,2,0.07692307692307693
Cameroon,1982,900,1,103,9262000,0.10796804145972792,3,0.08333333333333333
Cameroon,1983,870,129,101.2,9554000,13.502198032237807,3,0.08333333333333333
Cameroon,1984,820,186,99.4,9855000,18.873668188736684,2,0.07692307692307693
Cameroon,1985,810,159,97.6,10166000,15.64036986031871,2,0.07692307692307693
Cameroon,1986,890,224,95.8,10491000,21.35163473453436,3,0.08333333333333333
Cameroon,1987,920,213,94,10830000,19.667590027700832,3,0.08333333333333333
Cameroon,1988,980,284,92.3,11187000,25.386609457405918,3,0.08333333333333333
Cameroon,1989,1000,470,90.5,11554000,40.678552882118744,3,0.08333333333333333
Central African Republic,1982,340,1,114,2447000,0.4086636697997548,3,0.08333333333333333
Central African Republic,1983,280,93,112,2512000,37.02229299363057,3,0.08333333333333333
Central African Republic,1984,280,114,110,2578000,44.22032583397983,2,0.07692307692307693
Central African Republic,1985,270,104,108,2646000,39.30461073318216,2,0.07692307692307693
Central African Republic,1986,290,139,106,2717000,51.159366948840635,2,0.07692307692307693
Central African Republic,1987,320,176,104,2791000,63.059835184521674,3,0.08333333333333333
Central African Republic,1988,370,196,102.2,2869000,68.31648658069014,3,0.08333333333333333
Central African Republic,1989,390,189,100.4,2951000,64.0460860725178,3,0.08333333333333333
Chad,1982,150,1,143,4981000,0.2007628990162618,2,0.07692307692307693
Chad,1983,140,95,140.8,4789000,19.83712674879933,2,0.07692307692307693
